post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
206485625.be-a-winner-or-join-one,2026-07-10T20:18:39.795Z,true,,,newsletter,everyone,"Be a winner, or join one?","One shot, one opportunity.",
204945710.to-weigh-a-watermelon,2026-07-03T18:33:15.815Z,true,,,newsletter,everyone,To weigh a watermelon,There are many frontiers.,
203729979.the-frontier-fails-the-turing-test,2026-06-26T19:12:26.603Z,true,,,newsletter,everyone,The frontier fails the Turing test,Something has stopped compiling.,
202744544.can-ai-make-an-iphone,2026-06-19T17:35:31.690Z,true,,,newsletter,everyone,Can AI make an iPhone?,The tyranny of taste.,
201785412.what-will-startups-do-in-2030,2026-06-12T20:22:23.053Z,true,,,newsletter,everyone,What will startups do in 2030?,Every era needs its everymen.,
200795272.get-out-of-the-token-path,2026-06-05T18:49:44.772Z,true,,,newsletter,everyone,Your agent will be your undoing,Get out of the token path.,
199802719.be-reckless,2026-05-30T01:04:33.963Z,true,,,newsletter,everyone,Be reckless,The cost of doubt.,
198901322.wac,2026-05-22T22:54:59.473Z,true,,,newsletter,everyone,WAC*,"Wins above Claude and Co. Plus, Google grows up.",
197930774.the-bonfire-of-our-vanities,2026-05-15T23:12:40.853Z,true,,,newsletter,everyone,The bonfire of our vanities,This too shall pass.,
196936802.the-revolution-will-be-ticketed,2026-05-08T20:01:07.104Z,true,,,newsletter,everyone,The revolution will be ticketed,Real revolutionaries wear suits.,
196146076.leaderbored,2026-05-01T20:15:07.255Z,true,,,newsletter,everyone,Leaderbored,Is it a race or a run?,
195374823.how-do-you-make-a-chart,2026-04-24T18:37:22.171Z,true,,,newsletter,everyone,How do you make a chart?,Answer like your job depends on it. ,
194530092.there-is-no-pivot,2026-04-17T16:37:41.953Z,true,,,newsletter,everyone,There is no pivot,Do not try and pivot. There is no pivot. There is only spinning.,
193819144.post-money-values,2026-04-10T18:23:01.272Z,true,,,newsletter,everyone,Post-money values,"A furious ride uphill—and then, what?",
