post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
193090779.should-they-buyallbirds,2026-04-03T17:27:35.158Z,true,,,newsletter,everyone,Should they buy…Allbirds?,"Everyone pivots to the enterprise. Plus, Block becomes a box.",
192337060.something-good,2026-03-27T18:21:42.113Z,true,,,newsletter,everyone,Something good,Could it be? Is it she?,
191601145.compacting,2026-03-20T17:21:59.695Z,true,,,newsletter,everyone,Compacting...,“You can only feel it.”,
190827480.its-the-people-stupid,2026-03-13T16:58:02.831Z,true,,,newsletter,everyone,"It’s the people, stupid","We believe in nothing, except pettiness.",
190098744.the-banality-of-surveillance,2026-03-06T14:35:38.545Z,true,,,newsletter,everyone,The banality of surveillance,Do our dull lives become worth watching?,
189392103.the-best-is-still-hard-to-be,2026-02-27T20:25:14.390Z,true,,,newsletter,everyone,The best is still hard to be,And we pay a lot of money for the best.,
188645990.take-off,2026-02-20T20:26:28.083Z,true,,,newsletter,everyone,Take off,A short ride in a fast machine.,
187885232.go-crazy-folks-go-crazy,2026-02-13T19:02:46.460Z,true,,,newsletter,everyone,"Go crazy, folks, go crazy",I’m not saying it’s right. I’m just saying it might work.,
187123625.the-gentle-obsolescence,2026-02-06T20:53:58.814Z,true,,,newsletter,everyone,The gentle obsolescence,Are we expected to be keeping up?,
186328164.gas-town,2026-01-30T18:39:02.410Z,true,,,newsletter,everyone,Gas town,The agents are everywhere.,
185555571.maybe-finallythe-end-of-sql,2026-01-23T18:13:15.646Z,true,,,newsletter,everyone,"Maybe, finally—the end of SQL",Vibe and verify.,
184785771.why-cowork-cant-work,2026-01-16T17:27:03.575Z,true,,,newsletter,everyone,Why Cowork can’t work,The future isn’t collaborative.,
184050385.make-it-better,2026-01-09T19:15:35.491Z,true,,,newsletter,everyone,Make it better,"More than ever, work is never, over.",
183276617.have-you-tried-a-text-box,2026-01-02T20:08:15.588Z,true,,,newsletter,everyone,Have you tried a text box?,Maybe all we need to do is write stuff down.,
182112678.pure-heroin,2025-12-19T19:36:02.036Z,true,,,newsletter,everyone,Pure heroin,A different kind of buzz.,
181447090.the-vibes-and-the-noise,2025-12-12T19:09:26.462Z,true,,,newsletter,everyone,The vibes and the noise,The post-empirical generation.,
180819000.will-there-ever-be-a-worse-time-to,2025-12-05T18:58:29.069Z,true,,,newsletter,everyone,Will there ever be a worse time to start a startup?,Today's frontier is tomorrow's tech debt.,
180207311.9-9-6-0,2025-11-28T22:31:28.333Z,true,,,newsletter,everyone,9-9-6-0,When all you build is character.,
179592392.producer-theory,2025-11-21T21:02:00.105Z,true,,,newsletter,everyone,Producer theory,Platforms are overrated. ,
178866304.all-you-can-do-is-play-the-game,2025-11-14T22:10:43.733Z,true,,,newsletter,everyone,All you can do is play the game,I don’t know what’s coming next.,
177675177.a-strange-delight,2025-10-31T18:07:24.508Z,true,,,newsletter,everyone,A strange delight,"We are more machine now than man, and it's better if we remember that.",
177037878.an-very-obvious-deal,2025-10-24T20:03:26.905Z,true,,,newsletter,everyone,An very obvious deal,Shopping for the Data Stack Value Realization methodology.,
176451954.in-the-air,2025-10-17T22:12:23.368Z,true,,,newsletter,everyone,In the air,Now what?,
175220323.something-in-the-orange,2025-10-03T20:05:33.595Z,true,,,newsletter,everyone,Something in the orange,A last exit.,
174631148.we-were-hired-to-do-the-grunt-work,2025-09-26T17:34:42.340Z,true,,,newsletter,everyone,We were hired to do the grunt work,"If solving strategic problems is the more valuable thing to do, why aren't we doing it?",
174032155.is-the-innovators-dilemma-outdated,2025-09-19T16:43:41.746Z,true,,,newsletter,everyone,Is the innovator's dilemma outdated?,"What's a platform and what's a product? Plus, what's a fad and what's fundamental? And finally, what?",
173460449.it-is-the-internet,2025-09-12T18:36:14.937Z,true,,,newsletter,everyone,It is the internet,And it is tearing us apart.,
172885854.stuff-costs-money,2025-09-05T17:41:53.454Z,true,,,newsletter,everyone,Stuff costs money,"The many temptations of software businesses. Plus, a hackquisition?",
172277867.the-context-layer,2025-08-29T16:43:21.358Z,true,,,newsletter,everyone,The context layer,It didn’t work for us before…but it might work for us now. ,
171672882.outdated,2025-08-22T17:25:10.062Z,true,,,newsletter,everyone,Outdated,"At this speed, the math breaks down. Plus, uh, cannibalism?",
171061501.ban-chatgpt,2025-08-15T16:32:09.568Z,true,,,newsletter,everyone,Ban ChatGPT*,"*Not GPT, but chat? And not yet, but when? ",
170458301.enough,2025-08-08T19:12:57.679Z,true,,,newsletter,everyone,Enough,The math in the headlines. ,
169857033.can-analysis-ever-be-automated,2025-08-01T17:14:12.612Z,true,,,newsletter,everyone,Can analysis ever be automated?,"The catch-22 of all these AI analysts. Plus, go crazy folks; go crazy.",
169194408.everyone-is-crazy-now,2025-07-25T15:29:59.042Z,true,,,newsletter,everyone,Everyone is crazy now,The new abnormal.,
168653704.a-cold-play,2025-07-18T17:27:56.636Z,true,,,newsletter,everyone,A cold play,Google engineers half an acquisition—but did they buy the wrong half?,
168083378.saas-20,2025-07-11T16:08:54.122Z,true,,,newsletter,everyone,SaaS 2.0,From software-as-a-service to specialist-and-a-spreadsheet.,
167533912.ambition-fun-and-not,2025-07-04T17:26:07.709Z,true,,,newsletter,everyone,"Ambition, fun and not",Cheat on enterprise sales objection handling.,
166990523.meme-company,2025-06-27T18:05:59.796Z,true,,,newsletter,everyone,Meme-company,"Is tech still tech, or influencers making memes?",
166402755.fear-and-self-loathing-in-silicon,2025-06-20T16:23:30.041Z,true,,,newsletter,everyone,Fear and self-loathing in Silicon Valley,I somehow ended up at YC Demo Day.,
165880306.how-much-agency-do-we-actually-want,2025-06-13T19:52:39.567Z,true,,,newsletter,everyone,How much agency do we actually want?,"""Mr. Torres did as instructed.""",
165344019.which-way-from-here,2025-06-06T16:22:32.843Z,true,,,newsletter,everyone,Which way from here?,Data tries one more time.,
164203877.the-ads-are-coming,2025-05-23T15:04:06.529Z,true,,,newsletter,everyone,The ads are coming,"First come apps with AI, then come cookies and spies, then come the sponsors in sponsored replies.",
163720943.we-need-a-new-database,2025-05-16T18:08:26.712Z,true,,,newsletter,everyone,We need a new…database?,"I'm, like, tired of all these numbers, man.",
163216336.no-really-everything-becomes-bi,2025-05-09T17:58:50.639Z,true,,,newsletter,everyone,"No, really, everything becomes BI",Even us. Especially us?,
162692810.the-scorpion-box,2025-05-02T16:33:18.680Z,true,,,newsletter,everyone,The scorpion box,"We don’t know what’s in the box, but the box knows what’s in us.",
162134831.a-new-invisible-hand,2025-04-25T16:26:33.799Z,true,,,newsletter,everyone,A new invisible hand,The inscrutable ghost in every MCP server.,
161617363.startups-still-arent-businesses-yet,2025-04-18T16:46:23.905Z,true,,,newsletter,everyone,Startups (still) aren’t businesses (yet?),Why make a business that makes a little bit of money every day when you can make an asset that makes a ton of money all at once?,
160968590.the-industrialization-of-it,2025-04-11T14:33:25.745Z,true,,,newsletter,everyone,The industrialization of IT,"Yeah, we’re going to lose our jobs.",
160590041.american-dynamism,2025-04-04T16:42:12.696Z,true,,,newsletter,everyone,American Dynamism,Oof.,
160079978.live-like-youre-dying,2025-03-28T18:04:54.463Z,true,,,newsletter,everyone,Live like you’re dying,A short life on a campaign.,
159550307.copy-copy-revolution,2025-03-21T15:32:55.868Z,true,,,newsletter,everyone,Copy copy revolution,"Embracing the radical simplicity of an absent-minded architect. Plus, a tight race at the top of the White Lotus Power Rankings.",
159078612.most-graduate-degrees-in-analytics,2025-03-14T18:54:23.687Z,true,,,newsletter,everyone,Most graduate degrees in analytics are scams,"A true American hustle. Plus, more White Lotus Power Rankings.",
158597799.the-labor-of-little-decisions,2025-03-07T18:06:49.814Z,true,,,newsletter,everyone,The labor of little decisions,"And the intoxicating power of things that make them for us. Plus, LinkedIn! And White Lotus Power Rankings!",
158116384.the-end-of-yc,2025-02-28T18:25:54.883Z,true,,,newsletter,everyone,The end of YC,When engineers lose their edge.,
157625068.the-return-of-the-modern-data-stack,2025-02-21T17:00:42.760Z,true,,,newsletter,everyone,The return of the modern data stack,"An old trend flickers to life. Plus, White Lotus, DOGE, and gold on a plane!",
157153168.achievement-here-and-there,2025-02-14T17:33:34.643Z,true,,,newsletter,everyone,"Achievement, here and there",A pivot.,
156686256.for-the-brand-i-guess,2025-02-07T18:01:22.231Z,true,,,newsletter,everyone,"For the brand, I guess",What are we doing here?,
156184352.another-one,2025-01-31T18:10:13.365Z,true,,,newsletter,everyone,Another one,DeepSeek becomes the first of many.,
155630639.good-lord,2025-01-24T19:07:32.644Z,true,,,newsletter,everyone,Good Lord,We have the conch; we run the island; what sort of rulers will we be?,
155016677.is-growth-still-good,2025-01-17T17:50:54.307Z,true,,,newsletter,everyone,Is growth still good?,"Traction isn’t what it used to be. Plus, Pinterest, Jira, and SDF.",
154556809.hotel-california,2025-01-10T19:19:24.926Z,true,,,newsletter,everyone,Hotel California,This could be heaven or this could be hell. ,
154089526.the-trenderprise,2025-01-03T18:09:17.824Z,true,,,newsletter,everyone,The Trenderprise,"Software, so hot right now.",
153688100.results-actually,2024-12-27T19:44:04.497Z,true,,,newsletter,everyone,"Results, Actually",A loose ensemble of disjointed storylines.,
153418501.ai-companies-are-just-saas-companies,2024-12-20T18:18:42.582Z,true,,,newsletter,everyone,AI companies are just SaaS companies,Is OpenAI a wrapper around ChatGPT?,
153077362.is-this-a-career,2024-12-13T17:36:49.630Z,true,,,newsletter,everyone,Is this a career?,The trouble with “working in data.”,
152669011.postgres-in-a-box,2024-12-06T18:17:36.482Z,true,,,newsletter,everyone,Postgres in a box,The next big thing.,
152332615.searching-for-insight,2024-11-29T19:46:17.934Z,true,,,newsletter,everyone,Searching for insight,"No, really, I am trying to find it, and am offering bribes.",
152026526.does-data-quality-matter,2024-11-22T16:59:10.910Z,true,,,newsletter,everyone,Does data quality matter?,"Garbage in; whatever, it’s fine.",
151396244.no-better-room,2024-11-08T23:25:24.630Z,true,,,newsletter,everyone,No better room,"For better or for worse, the experience of a lifetime. ",
151039357.fragile,2024-11-01T18:36:07.498Z,true,,,newsletter,everyone,Fragile,A week to ignore data.,
150723292.dont-be-evil,2024-10-25T19:16:54.959Z,true,,,newsletter,everyone,Don't be evil*,*Subject to change without notice. Terms and conditions may apply.,
150414127.is-being-data-driven-a-fad,2024-10-18T17:01:36.458Z,true,,,newsletter,everyone,Is being data driven a fad?,"Tell me the odds now, but maybe not next year. ",
150116950.something-lost-something-found,2024-10-11T22:58:23.254Z,true,,,newsletter,everyone,"Something lost, something found","A solid footing, a dizzying town.",
149814388.is-excel-immortal,2024-10-04T17:50:44.625Z,true,,,newsletter,everyone,Is Excel immortal?,It might not just be immortal; it might be the most immortal thing of all. ,
149504820.the-second-wolf,2024-09-27T20:39:07.708Z,true,,,newsletter,everyone,The second wolf,Let me know how I can help myself. ,
149158309.welcome-to-bennventures,2024-09-20T16:41:00.573Z,true,,,newsletter,everyone,Welcome to benn.ventures,Because what else do we do?,
148857108.do-ai-companies-work,2024-09-13T18:30:13.308Z,true,,,newsletter,everyone,Do AI companies work?,The market needs to be irrational for you to stay solvent. ,
148586186.getting-away-with-it,2024-09-06T18:42:20.428Z,true,,,newsletter,everyone,Getting away with it,"Fine, fOuNdEr MoDe.",
148308676.just-do-it,2024-08-30T17:14:44.766Z,true,,,newsletter,everyone,Just do it,™,
148046562.how-a-startup-feels,2024-08-23T16:47:01.734Z,true,,,newsletter,everyone,How a startup feels,Why some of us are unfit for the magical mystery money machine.,
147786721.a-very-particular-set-of-skills,2024-08-16T16:50:20.931Z,true,,,newsletter,everyone,A very particular set of skills,"If you're really good at something, do that thing?",
146549299.how-to-create-a-winning-pitch-deck,2024-08-09T13:56:49.625Z,true,,,newsletter,everyone,How to create a winning pitch deck,The title of this post makes it sound like it has a huge potential audience. But its contents are actually pretty niche. ,
147276440.ed-harris-would-like-to-connect-with,2024-08-02T16:28:40.479Z,true,,,newsletter,everyone,Ed Harris would like to connect with you on LinkedIn,Capitalism’s last refuge from reality.,
146084626.ambition-then-and-now,2024-06-28T17:32:20.983Z,true,,,newsletter,everyone,"Ambition, then and now","Will you have gotten what you wanted from this life, even so?",
145864371.its-too-many-options,2024-06-21T15:33:49.600Z,true,,,newsletter,everyone,It’s too many options,"Burn the bike shed and sign some ten-year contracts. Plus, remembering that <LEAD.FAVORITE_COFFE_BRAND> cup in Game of Thrones.",
145645344.the-important-thing-for-you-to-know,2024-06-14T16:49:11.346Z,true,,,newsletter,everyone,The important thing for you to know is that it’s not my fault,"It’s a shame that things didn’t work out, but I can’t be blamed for that. Plus, introducing Attention numbers, the best way to value your startup.",
145414854.the-vibes-are-weird,2024-06-07T16:49:20.729Z,true,,,newsletter,everyone,The vibes are weird,"The fraying physics of Silicon Valley. Plus, a false fake from Drake?",
145169149.the-rise-of-the-analytics-pretendgineer,2024-05-31T16:40:07.588Z,true,,,newsletter,everyone,The rise of the analytics pretendgineer,"How to fix dbt. Plus, everything is spreadsheets, and Snowflake is bullish on B2B SaaS.",
144945765.everything-is-still-bi,2024-05-24T15:29:23.091Z,true,,,newsletter,everyone,Everything is still BI,What to expect when you’re not expecting to build a BI tool.,
144726809.the-design-flaw-at-the-heart-of-every,2024-05-17T16:41:02.033Z,true,,,newsletter,everyone,The design flaw at the heart of every data product,I'll save you a click: It's because they weren't designed for real data.,
144510148.attn-data,2024-05-10T17:41:09.415Z,true,,,newsletter,everyone,Attn: Data,"We worry about analysis, but maybe attention really is all you need. ",
144275406.the-saas-counterculture,2024-05-03T16:34:27.400Z,true,,,newsletter,everyone,The SaaS counterculture,And the SaaS status symbol.,
144044675.bis-third-form,2024-04-26T16:51:00.825Z,true,,,newsletter,everyone,BI’s third form,Help us with the hard thing.,
143746143.do-software-companies-actually-have,2024-04-19T15:51:12.445Z,true,,,newsletter,everyone,Do software companies actually have good margins?,Survey says no.,
143485972.playercoachai-investor-update-q1,2024-04-12T17:35:31.973Z,true,,,newsletter,everyone,PlayerCoach.ai investor update – Q1 2024,Please keep this confidential. ,
143303690.oops,2024-04-05T17:11:26.160Z,true,,,newsletter,everyone,Oops,Reassemble the analytics team! Reassemble the analytics team!,
143078536.all-at-one-time,2024-03-29T17:20:40.197Z,true,,,newsletter,everyone,All at one time,What to do at a corporate conference.,
142863504.disband-the-analytics-team,2024-03-22T16:52:11.693Z,true,,,newsletter,everyone,Disband the analytics team,"I mean, no, surely not. But maybe?",
142647438.the-posters-decide,2024-03-15T16:42:06.600Z,true,,,newsletter,everyone,The posters decide,Who picks Silicon Valley’s winners?,
142423801.long-on-shovels-short-on-gold,2024-03-08T17:10:34.182Z,true,,,newsletter,everyone,"Long on shovels, short on gold","When everyone is betting the house on AI, there are probably some good deals on the other side of the line. Plus, the real problem with liquidation preferences. ",
142211672.whatever-do-the-secondary-sale,2024-03-01T17:32:57.939Z,true,,,newsletter,everyone,"Whatever, do the secondary sale","But it should be employees, not VCs, who judge if they're fair.",
141968654.llms-shouldnt-write-sql,2024-02-23T17:43:41.413Z,true,,,newsletter,everyone,LLMs shouldn’t write SQL,There's no direct path from a business question to a useful query.,
141735665.the-problem-was-the-product,2024-02-16T18:00:38.942Z,true,,,newsletter,everyone,The problem was the product,How the modern data stack got lost. ,
141528758.small-multiplies,2024-02-09T17:32:24.529Z,true,,,newsletter,everyone,Small multiplies ,"If you’re good at something, just do that?",
141311723.data-arithmetic,2024-02-02T16:00:09.284Z,true,,,newsletter,everyone,Data arithmetic,"Science is for suckers. Plus, influencers giveth, and influencers taketh away.",
141071995.your-companys-values-will-be-used,2024-01-26T17:09:27.589Z,true,,,newsletter,everyone,Your company's values will be used against you,The problem isn’t the intent; it’s the execution.,
140842906.its-time-to-build,2024-01-19T17:40:21.832Z,true,,,newsletter,everyone,It's time to build,I just want to tell you all good luck. We’re all counting on you.,
140621963.trading-places,2024-01-12T16:25:30.591Z,true,,,newsletter,everyone,Trading places,Carta tries to make an exchange.,
140379261.how-much-is-the-news-worth,2024-01-05T16:37:00.064Z,true,,,newsletter,everyone,How much is the news worth?,"If you're OpenAI, it depends on what you’re building—and when you’re asking.",
140012216.the-whole-scheme,2023-12-22T17:34:11.326Z,true,,,newsletter,everyone,The whole scheme,"Alteryx starts playing a new game. Plus, a lie! On Twitter!",
139817807.playing-for-ourselves,2023-12-15T18:12:58.806Z,true,,,newsletter,everyone,Playing for ourselves,"A review, of sorts, of ""Who Makes the NBA?,"" and what it means for the rest of us.",
139619217.the-modern-data-stack-was-never-big-enough,2023-12-08T17:39:19.503Z,true,,,newsletter,everyone,The modern data stack was never big enough,Microsoft moves on.,
139333814.avg-text,2023-12-01T18:02:24.891Z,true,,,newsletter,everyone,AVG(text),A data intelligence platform doesn't turn natural language into math. It runs math on natural language.,
139132689.tribal-accelerationism,2023-11-24T17:50:37.962Z,true,,,newsletter,everyone,Tribal accelerationism,The OpenAI circus puts us back where we started—but now we’re more polarized. And some clickbait on why Sam Altman isn’t special.,
138945895.the-series-everything-is-fine,2023-11-17T16:38:49.508Z,true,,,newsletter,everyone,The series E(verything is fine),Keeping the dream alive. And how VCs can help.,
138759555.ai-is-coming-for-your-favorite-products,2023-11-10T17:00:40.764Z,true,,,newsletter,everyone,AI is coming for your favorite product's good user experience,"And BI is still coming for everything, except Excel.",
138553423.why-are-we-still-surprised-that-startups,2023-11-03T16:22:40.588Z,true,,,newsletter,everyone,Why are we still surprised that startups are hard?,"We think they can be hacked, but the only enduring moat is effort.",
138337248.the-effects-of-a-war,2023-10-27T16:47:30.330Z,true,,,newsletter,everyone,The effects of a war,"Subscribers’ stories about the war in Israel and Gaza, and how you can help them.",
138148820.transforming-into-san-diego,2023-10-20T19:42:26.986Z,true,,,newsletter,everyone,Transforming into San Diego,Are we becoming a pleasant place where nothing happens?,
137927748.there-is-no-post-today,2023-10-13T15:20:22.893Z,true,,,newsletter,everyone,There is no post today,Data stuff can wait. ,
137729402.does-venture-capital-ruin-great-products,2023-10-06T16:39:13.893Z,true,,,newsletter,everyone,Does venture capital ruin great products?,It's at least a little strange how we assume that spending more money building something makes it worse.,
137508126.the-potential-gap,2023-09-29T16:22:38.885Z,true,,,newsletter,everyone,The potential gap,There's a difference between what tools can do and what tools do do.,
137294797.so-you-want-to-sell-to-the-enterprise,2023-09-22T14:01:34.870Z,true,,,newsletter,everyone,So you want to sell to the enterprise?,They'll be here tomorrow. ,
137070616.the-end-of-our-purple-era,2023-09-15T16:21:07.182Z,true,,,newsletter,everyone,The end of our purple era,We love to talk about the future of our tools. What about the future of our jobs?,
136852343.category-collapse,2023-09-08T17:14:36.861Z,true,,,newsletter,everyone,Category collapse,There's no signal in ten million dollars anymore. ,
136639841.take-the-down-round,2023-09-01T17:18:38.781Z,true,,,newsletter,everyone,Take the down round,"The greatest trick that VCs ever pulled is convincing startups that down rounds are a disaster. Plus, pricing, again.",
136402036.how-much-for-that-dag-in-the-window,2023-08-25T16:02:10.292Z,true,,,newsletter,everyone,How much for that DAG in the window?,There's a theoretical price and a real price. ,
136193385.the-smol-analyst,2023-08-18T16:54:19.023Z,true,,,newsletter,everyone,The smol analyst,Maybe there’s a way to make these chatbots useful after all.,
135936123.the-hunt-for-the-holy-grail,2023-08-11T16:14:02.224Z,true,,,newsletter,everyone,The hunt for the Holy Grail,We always talk about single points of failure. But what is our single point of success?,
135717070.the-emotionally-informed-company,2023-08-04T16:08:22.291Z,true,,,newsletter,everyone,The emotionally informed company,The heart has reason—and conviction—that reason does not know.,
135525323.will-we-ever-have-clean-data,2023-07-28T17:17:13.761Z,true,,,newsletter,everyone,Will we ever have clean data?,"Probably not, but maybe we can work with messy data.",
135341191.how-an-acquisition-fails,2023-07-21T19:32:47.924Z,true,,,newsletter,everyone,How an acquisition fails ,And the simple story for how it doesn’t. ,
134863380.we-dont-need-another-sql-chatbot,2023-07-14T18:29:30.970Z,true,,,newsletter,everyone,We don’t need another SQL chatbot,"We want one, to do the tedious parts of our job. But it might be better suited to take the fun parts.",
133717126.gsnowflake,2023-07-07T17:32:07.260Z,true,,,newsletter,everyone,Gsnowflake,It’s a database; it’s a data cloud; it’s an informationbase! ,
132204805.to-my-parents,2023-06-30T20:38:36.778Z,true,,,newsletter,everyone,To my parents,From Minneapolis to Las Vegas.,
130491904.the-annual-microwave-conference,2023-06-23T17:33:08.537Z,true,,,newsletter,everyone,"10,000 microwave enthusiasts to attend annual microwave conference in Las Vegas",Pushing on the asymptote. ,
128784158.should-we-be-nice-to-chatgpt,2023-06-16T15:48:15.728Z,true,,,newsletter,everyone,Should we be nice to ChatGPT?,"It depends—do we want to do twenty points better on the SAT, or not get turned into batteries?",
127141251.all-i-want-is-to-know-whats-different,2023-06-09T16:44:39.442Z,true,,,newsletter,everyone,All I want is to know what's different,"Rather than trying to guarantee correctness, what if we tried to guarantee consistency?",
125542540.a-gamblers-guide-to-giving-talks,2023-06-02T16:47:34.148Z,true,,,newsletter,everyone,A gambler's guide to giving talks,A bewildered audience is better than a bored one.,
123990165.microsoft-builds-the-bomb,2023-05-26T16:27:34.440Z,true,,,newsletter,everyone,Microsoft builds the bomb,"What Fabric is, and what I want it to be. ",
122496697.do-we-still-need-the-world-wide-web,2023-05-19T16:44:45.676Z,true,,,newsletter,everyone,Do we still need the world wide web?,"Why fast—and not free—could reinvent the entire internet. Or at least, I dunno, data catalogs. ",
120983523.the-truth-is-out-there,2023-05-12T16:23:17.920Z,true,,,newsletter,everyone,The truth is out there,The only thing stopping us from finding it is us.,
119475953.bi-by-another-name,2023-05-05T15:48:01.328Z,true,,,newsletter,everyone,BI by another name,Taking stock of the new semantic layers. ,
117915273.clear-eyes-full-hearts,2023-04-28T17:03:10.439Z,true,,,newsletter,everyone,"Clear eyes, full hearts, can't lose","For startups, there is no step two. ",
116317990.am-i-the-jared-kushner,2023-04-21T16:27:39.361Z,true,,,newsletter,everyone,“Am I the Jared Kushner?”,"Why analysts should do less analysis. Also, content warning: A picture of Jared Kushner.",
114804500.how-dbt-succeeds,2023-04-14T16:46:10.950Z,true,,,newsletter,everyone,How dbt succeeds,"Peacetime dbt, wartime dbt, and an alternative third thing.",
113305279.the-new-philosophers,2023-04-07T16:27:37.120Z,true,,,newsletter,everyone,The new philosophers,How the modern data stack falls out of fashion.,
111880652.large-language-labor-markets,2023-03-31T17:06:53.479Z,true,,,newsletter,everyone,Large language labor markets,Everything is about to get very weird.,
110431823.the-public-imagination,2023-03-24T15:59:24.186Z,true,,,newsletter,everyone,The public imagination,OpenAI shouldn't be an app store. It should be a hardware store.,
109010652.too-innovative-to-fail,2023-03-17T15:57:09.725Z,true,,,newsletter,everyone,Too innovative to fail,Subprime comes to Silicon Valley.,
107535478.for-immediate-release,2023-03-10T17:16:23.085Z,true,,,newsletter,everyone,For immediate release: Doubling down on our data investments,We have no problem selling data. But would we buy it?,
106233151.what-happened-to-the-data-warehouse,2023-03-03T16:57:11.720Z,true,,,newsletter,everyone,What happened to the data warehouse?,"It's a sandwich, a floppy disk, and an iPhone. ",
104866734.terror-in-the-skynet,2023-02-24T17:15:18.399Z,true,,,newsletter,everyone,Terror in the Skynet,"The futile effort to outwit our emotions, and the looming effort to engineer them. ",
103516005.customer-capture,2023-02-17T17:37:59.910Z,true,,,newsletter,everyone,Customer capture,The perilous promise of a big market.,
102099843.the-case-for-being-biased,2023-02-10T17:26:41.543Z,true,,,newsletter,everyone,The case for being biased,Why telling the truth might be the second-most valuable thing data teams can do.,
100667069.insight-industrial-complex,2023-02-03T16:54:27.127Z,true,,,newsletter,everyone,The insight industrial complex,Most people just want to know what's going on.,
99275606.the-rapture-and-the-reckoning,2023-01-27T17:55:04.679Z,true,,,newsletter,everyone,The rapture and the reckoning,I'm a believer—AI will change everything about data too.,
97927546.data-teams-product-market-fit,2023-01-20T17:43:33.017Z,true,,,newsletter,everyone,Do data teams have product-market fit?,"It’s us, hi, we’re the problem, it’s us.",
96491513.the-conglomerate,2023-01-13T16:38:12.293Z,true,,,newsletter,everyone,The conglomerate,Not bundling or unbundling but a secret third thing.,
95079164.math-is-overrated,2023-01-06T17:16:47.583Z,true,,,newsletter,everyone,Math is overrated,Our mental model of value needs new priors.,
93756341.scoring-data-predictions,2022-12-30T16:40:00.782Z,true,,,newsletter,everyone,Scoring a decade of data predictions,"If at first you don’t succeed, try, try again.",
92493333.moneyballing-the-world-cup,2022-12-23T16:52:07.951Z,true,,,newsletter,everyone,Moneyballing the World Cup,And how you can make the roster.,
91044568.the-product-is-the-process,2022-12-16T17:27:13.443Z,true,,,newsletter,everyone,The product is the process,"Why Slack ruins companies, and why only products can save data teams.",
89635026.how-analysis-dies,2022-12-09T18:14:47.393Z,true,,,newsletter,everyone,How analysis dies,We aren't smart enough for what happens next.,
87934448.the-worst-spreadsheet,2022-12-02T17:37:03.911Z,true,,,newsletter,everyone,The worst spreadsheet I've ever made,"Today, I consider myself the oldest man on the face of the earth. ",
86811203.should-we-be-grateful,2022-11-25T17:52:12.075Z,true,,,newsletter,everyone,Should we be grateful for the modern data stack?,Yes.,
85372487.the-internet-2022,2022-11-18T18:36:42.653Z,true,,,newsletter,everyone,"The internet, 2022",Surrender to the howling void.,
83946516.day-of-reckoning,2022-11-11T17:44:30.031Z,true,,,newsletter,everyone,Data’s day of reckoning,"They’ve got data marts like gold, and ours are a little more like stone.",
82549825.the-emperor-and-his-clothes,2022-11-04T16:21:57.662Z,true,,,newsletter,everyone,The emperor and his clothes,"Twitter, and the story of Silicon Valley's very smart boys. ",
81216506.datas-invisible-hand,2022-10-28T17:05:58.305Z,true,,,newsletter,everyone,Data's invisible hand,An inquiry into the nature and causes of the wealth of data teams.,
79819517.all-in-one-place,2022-10-21T18:05:27.745Z,true,,,newsletter,everyone,All in one place,"Let the good times roll, for as long as they last.",
78395588.internal-tools-make-lousy-startups,2022-10-14T16:04:58.630Z,true,,,newsletter,everyone,Internal tools make lousy startups,The inside of a company is a misleading market. ,
